time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
74328.17,2810843,2759682,16370460,11107832,1477,109936,8408,65524,13337,401232,766,67532,4777,130036,519,79056,568,71804,418,57144,770,55668,280,66836,165,47912
75330.81,2811437,2760256,16370460,11106824,1477,109936,8409,65524,13338,401232,767,67532,4778,130036,522,79056,568,71804,418,57144,770,55668,280,66836,165,47912
76333.36,2812031,2760826,16370460,11105816,1477,109936,8412,66036,13341,401232,767,67532,4779,130036,524,79056,568,71804,418,57144,771,55668,280,66836,165,47912
77336.89,2812628,2761396,16370460,11105060,1477,109936,8417,65292,13344,401232,767,67532,4780,130036,527,79056,568,71804,418,57144,771,55668,280,66836,165,47912
78339.52,2813225,2761970,16370460,11104808,1478,109936,8418,65292,13346,401232,767,67532,4781,130036,530,79056,568,71804,418,57144,771,55668,280,66836,165,47912
79343.25,2813817,2762534,16370460,11091596,1478,109936,8419,67468,13348,401232,767,67532,4781,130036,533,79056,568,71804,418,57144,771,55668,280,66836,165,47912
80346.64,2814413,2763110,16370460,11091344,1478,109936,8421,67468,13350,401232,767,67532,4783,130036,536,79056,568,71804,418,57144,771,55668,280,66836,165,47912
81351.47,2815009,2763682,16370460,11090088,1478,109936,8422,67468,13352,401232,767,67532,4783,130036,538,79056,568,71804,418,57144,771,55668,280,66836,165,47912
82356.04,2815605,2764258,16370460,11089836,1478,109936,8423,67468,13355,401232,768,67532,4785,130036,541,79056,568,71804,419,57144,771,55668,280,66836,165,47912
83359.52,2816202,2764832,16370460,11089836,1478,109936,8425,67468,13356,401232,768,67532,4785,130036,543,79056,568,71804,420,57144,771,55668,280,66836,165,47912
84363.71,2816797,2765405,16370460,11089336,1479,109936,8426,67468,13359,401232,768,67532,4786,130036,546,79056,568,71804,420,57144,772,55668,280,66836,165,47912
85366.82,2817394,2765975,16370460,11089336,1479,109936,8427,67468,13361,401232,768,67532,4787,130036,549,79056,569,71804,420,57144,772,55668,280,66836,166,47912
