time,total,idle,mem_total,mem_free,2028/cpu,2028/rss,2030/cpu,2030/rss,2054/cpu,2054/rss,2056/cpu,2056/rss,2938/cpu,2938/rss,2954/cpu,2954/rss,3862/cpu,3862/rss,3888/cpu,3888/rss
65191.38,1367013,1229613,3887864,1568324,14623,82312,7054,71420,33922,367540,7163,117688,1248,88336,285,41764,477,16600,1880,55564
66194.67,1367413,1229950,3887864,1564112,14626,82312,7058,71420,33931,367540,7169,117692,1248,88336,286,41764,477,16600,1880,55564
67196.66,1367812,1230330,3887864,1564432,14629,82312,7060,71420,33937,367540,7170,117692,1249,88336,286,41764,477,16600,1880,55564
68198.74,1368205,1230692,3887864,1559100,14631,82312,7061,71420,33943,367540,7171,117692,1249,88336,286,41764,477,16600,1880,55564
69201.17,1368601,1231057,3887864,1559020,14640,82540,7062,71420,33952,367540,7173,117692,1249,88336,286,41764,477,16600,1881,55564
70203.5,1369005,1231427,3887864,1551900,14643,82540,7064,71420,33959,367540,7175,117696,1250,88336,286,41764,477,16600,1881,55564
71208.62,1369400,1231791,3887864,1556356,14645,82544,7066,71420,33967,367540,7177,117696,1250,88336,286,41764,478,16600,1882,55564
72210.83,1369799,1232164,3887864,1557468,14651,82556,7069,71420,33975,367540,7179,117696,1250,88336,286,41764,478,16600,1882,55564
73212.83,1370193,1232519,3887864,1555556,14654,82564,7070,71420,33984,367540,7180,117696,1250,88336,286,41764,478,16600,1882,55564
74217.55,1370588,1232877,3887864,1555968,14661,82624,7072,71420,33994,367540,7182,117696,1250,88336,286,41764,478,16600,1884,55564
75219.61,1370989,1233235,3887864,1543108,14663,82676,7073,71420,34001,367540,7183,117696,1250,88336,286,41764,478,16600,1884,55564
76221.92,1371390,1233612,3887864,1546824,14667,82752,7076,71420,34006,367544,7185,117696,1251,88340,286,41764,478,16600,1884,55564
77224.02,1371784,1233948,3887864,1557400,14673,82808,7078,71420,34021,367544,7187,117696,1251,88340,286,41764,478,16600,1885,55564
78226.03,1372182,1234336,3887864,1556900,14675,82808,7079,71420,34024,367544,7187,117696,1251,88340,286,41764,478,16600,1885,55564
79228.09,1372580,1234689,3887864,1545492,14678,82860,7080,71420,34032,367544,7189,117696,1252,88340,286,41764,478,16600,1886,55564
80230.09,1372979,1235071,3887864,1545544,14681,82860,7082,71420,34037,367544,7190,117696,1252,88340,286,41764,478,16600,1886,55564
81232.11,1373376,1235428,3887864,1548464,14684,82876,7085,71228,34045,367544,7192,117696,1253,88340,286,41764,478,16600,1886,55564
82234.63,1373767,1235766,3887864,1548828,14694,82880,7086,71228,34070,367548,7195,117696,1253,88340,286,41764,480,16600,1894,55388
83236.69,1374160,1236134,3887864,1549952,14698,82924,7089,71228,34083,367548,7196,117696,1254,88340,286,41764,480,16600,1896,55388
84238.77,1374561,1236477,3887864,1549880,14701,82932,7090,71228,34090,367548,7197,117696,1254,88340,286,41764,480,16600,1896,55388
85240.79,1374959,1236858,3887864,1551796,14704,82932,7091,71228,34096,367548,7198,117700,1254,88340,286,41764,480,16600,1896,55388
86242.89,1375358,1237212,3887864,1549380,14707,82932,7094,71228,34101,367548,7200,117700,1255,88340,287,41764,480,16600,1896,55388
87247.37,1375751,1237590,3887864,1551324,14710,82964,7095,71228,34107,367548,7202,117700,1255,88340,287,41764,480,16600,1896,55388
88249.56,1376148,1237932,3887864,1557964,14715,82968,7098,71228,34119,367548,7204,117700,1255,88340,287,41764,481,16600,1897,55388
89251.63,1376549,1238309,3887864,1557716,14717,82968,7099,71228,34124,367548,7205,117700,1256,88340,287,41764,481,16600,1898,55388
90253.64,1376947,1238662,3887864,1552268,14721,82968,7100,71228,34132,367548,7207,117700,1256,88340,287,41764,481,16600,1898,55388
91255.75,1377345,1239045,3887864,1553308,14724,82984,7103,71228,34137,367548,7208,117700,1256,88340,287,41764,481,16600,1898,55388
92257.82,1377742,1239402,3887864,1556724,14728,82984,7104,71228,34145,367548,7210,117700,1256,88340,287,41764,481,16600,1898,55388
93262.8,1378139,1239764,3887864,1557328,14732,82988,7105,71228,34157,367548,7211,117700,1257,88340,287,41764,481,16600,1899,55388
94270.91,1378535,1240101,3887864,1553844,14735,82992,7109,71228,34165,367552,7213,117700,1257,88340,287,41764,481,16600,1899,55388
95273.16,1378934,1240466,3887864,1560812,14739,82992,7110,71228,34173,367552,7214,117700,1257,88340,287,41764,481,16600,1900,55388
96275.35,1379330,1240840,3887864,1560812,14742,82992,7113,71228,34178,367552,7217,117700,1258,88344,287,41764,482,16600,1900,55388
97277.64,1379728,1241199,3887864,1547608,14745,82992,7114,71228,34185,367556,7218,117700,1258,88344,287,41764,482,16600,1900,55388
