time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
143627.8,8090642,7941463,16370460,9312652,4031,109788,23307,67268,40692,532980,2173,65080,14634,127336
144631.78,8091240,7942049,16370460,9312400,4032,109788,23309,67236,40696,532980,2173,65080,14635,127336
145636.18,8091839,7942642,16370460,9312400,4032,109788,23311,67236,40699,532980,2173,65080,14636,127336
146639.97,8092435,7943233,16370460,9312400,4032,109788,23311,67236,40701,532980,2173,65080,14638,127336
147643.28,8093033,7943824,16370460,9312400,4032,109788,23313,67364,40705,532980,2173,65080,14640,127336
148647.06,8093632,7944410,16370460,9309028,4032,109788,23315,67364,40707,532980,2173,65080,14640,127336
149652.04,8094231,7944997,16370460,9309028,4032,109788,23316,67364,40710,532980,2174,65080,14642,127336
150656.93,8094828,7945581,16370460,9308272,4033,109788,23317,67492,40713,532980,2174,65080,14643,127464
151661.88,8095428,7946175,16370460,9308272,4034,109788,23320,67492,40716,532980,2175,65080,14644,127464
152666.41,8096026,7946764,16370460,9308272,4034,109788,23320,67492,40718,532980,2175,65080,14645,127464
153672.12,8096625,7947354,16370460,9308272,4034,109788,23323,67492,40721,532980,2175,65080,14646,127464
154676.36,8097223,7947941,16370460,9308272,4034,109788,23324,67492,40726,532980,2175,65080,14648,127464
155682.12,8097822,7948536,16370460,9308272,4034,109788,23325,67492,40728,532980,2175,65080,14649,127464
156691.52,8098423,7949130,16370460,9308272,4035,109788,23327,67492,40730,532980,2175,65080,14650,127464
157698.07,8099022,7949721,16370460,9308272,4035,109788,23329,67492,40734,532980,2175,65080,14652,127464
158702.65,8099622,7950307,16370460,9307096,4035,109788,23330,67492,40736,532980,2175,65080,14653,127464
159706.99,8100220,7950898,16370460,9307096,4035,109788,23332,67492,40739,532980,2175,65080,14653,127464
160712.77,8100817,7951487,16370460,9305080,4035,109788,23333,69284,40742,532980,2176,65080,14655,127464
161718.91,8101416,7952080,16370460,9305080,4037,109788,23335,69412,40745,532980,2176,65080,14655,127464
162724.72,8102015,7952665,16370460,9304828,4038,109788,23338,69540,40749,532980,2176,65080,14658,127464
163728.56,8102613,7953254,16370460,9304828,4038,109788,23340,69540,40752,532980,2177,65080,14659,127464
164734.41,8103212,7953842,16370460,9304828,4038,109788,23341,69540,40755,532980,2177,65080,14660,127464
165737.54,8103809,7954431,16370460,9304352,4038,109788,23343,69540,40759,532980,2177,65080,14660,127464
166742.44,8104408,7955022,16370460,9303596,4038,109788,23343,69540,40761,532980,2177,65080,14662,127464
167747.23,8105006,7955614,16370460,9303596,4039,109788,23346,69540,40764,532980,2177,65080,14663,127464
168750.52,8105605,7956200,16370460,9310120,4039,109788,23347,69540,40767,532980,2177,65080,14664,127464
169754.34,8106205,7956792,16370460,9314832,4039,109788,23348,69540,40769,532980,2177,65080,14665,127464
170757.46,8106803,7957380,16370460,9314580,4039,109788,23350,69540,40771,532980,2177,65080,14667,127464
171761.4,8107402,7957974,16370460,9314580,4040,109788,23351,69540,40774,532980,2177,65080,14667,127464
172766.39,8107998,7958562,16370460,9314328,4041,109788,23353,69540,40776,532980,2178,65080,14668,127464
173771.3,8108597,7959153,16370460,9320084,4041,109788,23354,69540,40779,532980,2178,65080,14669,127464
174774.42,8109195,7959741,16370460,9319700,4041,109788,23356,67704,40782,532980,2178,65080,14671,127464
175778.33,8109794,7960335,16370460,9319700,4041,109788,23357,67704,40785,532980,2179,65080,14672,127464
176787.4,8110397,7960932,16370460,9319448,4041,109788,23357,67704,40787,532980,2179,65080,14673,127464
177789.42,8110993,7961520,16370460,9320236,4042,109788,23360,67704,40791,532980,2179,65080,14674,127464
178791.6,8111590,7962104,16370460,9306540,4043,109788,23361,67704,40793,532980,2179,65080,14675,127464
179793.65,8112186,7962692,16370460,9314100,4043,109788,23362,67704,40796,532980,2179,65080,14676,127464
180797.94,8112777,7963171,16370460,9347748,4043,109788,23375,67748,40810,532980,2179,65080,14680,127464
181801.82,8113376,7963748,16370460,9367684,4043,109788,23376,67748,40825,504320,2179,65080,14681,127464
182805.99,8113974,7964335,16370460,9369100,4044,109788,23378,67748,40829,504320,2179,65080,14682,127464
183811.12,8114571,7964925,16370460,9370712,4044,109788,23380,67876,40831,504320,2179,65080,14683,127464
184815.71,8115171,7965513,16370460,9372008,4044,109788,23381,67876,40835,504320,2179,65080,14685,127464
185821.83,8115770,7966103,16370460,9371760,4044,109788,23382,67876,40838,504320,2180,65080,14686,127464
186826.03,8116368,7966696,16370460,9371760,4045,109788,23384,68900,40840,504320,2180,65080,14687,127464
187829.19,8116965,7967287,16370460,9371760,4046,109788,23385,68900,40843,504320,2180,65080,14689,127464
188833.29,8117562,7967874,16370460,9367980,4046,109788,23388,68900,40847,504320,2180,65080,14689,127464
189836.34,8118160,7968462,16370460,9379012,4046,109788,23389,69028,40849,504320,2181,65080,14691,127464
190840.14,8118758,7969052,16370460,9379012,4047,109788,23389,69028,40852,504320,2181,65080,14692,127464
